id,קטגוריה (Category),כותרת (Title),שמות נוספים (Alt titles),lat,lng,ערך (Article),פסוקים (Tanakh text),מראי מקום (References),ערכים קשורים (See also),תמונות (Images),ראה (Redirect),אזור (Region),עמוד מקור (Source page),הערות (Notes)
e0795,מקומות במקרא,עַזָּה,,31.5039,34.4647,"עיר בדרום מישור החוף, נזכרת כ־20 פעמים במקרא. בזכות מיקומה על דרך הים הבין־לאומית ממצרים צפונה, הייתה מן הערים החשובות והחזקות בתולדות ארץ ישראל. עזה נחשבה לאחת מנקודות ציון הגבול הדרומי־מערבי של ארץ כנען בספר בראשית ובכיבושי יהושע. היא נכללה בנחלת יהודה אף שמעולם לא נכבשה על ידם בפועל. בימי שלמה ציינה את קצה הממלכה. לרוב נזכרה עזה כאחת מחמש ערי סרני פלשתים. שמשון בא אל אישה זונה בעזה ומשם נשא את שערי העיר לחברון. לאחר שנתפס על ידי פלשתים בסיועה של דלילה בשורק, הורד לעזה ושם מת.

עזה נזכרה במקורות חוץ־מקראיים מן התקופה הכנענית המאוחרת ברשימת כיבושי תחותמס ה־3, במכתבי אל־עמארנה ובמכתבי תענך כעיר מינהל של השלטון המצרי בארץ כנען. במקורות המצריים מכונה עזה ”עיר שלל המושל״ ו״העיר של כנען״. אולם נראה שהייתה מיושבת עוד קודם לכן. לאחר נסיגת המצרים מכנען ישבו בעזה פלשתים, וייתכן שזמנית שלט בה שישק מלך מצרים סביב שנת 925 לפסה״נ. כמה משליטיה של עזה נזכרו בכתובות אשוריות, ומתעודות אלה עולה כי היא נכבשה במחצית השנייה של המאה ה־8 לפסה״נ על ידי תגלת פלאסר ה־3 מלך אשור. מאוחר יותר כבש אותה פרעה נכֹה מלך מצרים בשנת 609 לפסה״נ. בימי שלטון בבל בוטל מעמדה של עזה כעיר ממלכה וחלק מתושביה הוגלו לבבל. בתקופת השלטון הפרסי היא הפכה לנמל הראשי של הסחר הערבי ונשלטה בידי בני קידר. עזה המשיכה להיות עיר חשובה גם בתקופות ההלניסטית, הרומית, הביזנטית והמוסלמית, וכמעט בכל הדורות הללו התקיימה בה קהילה יהודית. מקומה של עזה הקדומה בתל אל חרובה, סמוך לקצה הצפון מזרחי של העיר המודרנית, 5 ק״מ מחוף הים. התל נחפר על ידי חוקרי קרן המחקר הבריטית בראשית המאה ה־20, וזוהו בו שרידים מתקופת הברונזה המאוחרת, מתקופת הברזל וכן מתקופות מאוחרות יותר.","[צפניה ב, ד] כִּי עַזָּה עֲזוּבָה תִהְיֶה","צפניה ב, ד; בראשית י, יט; יהושע י, מא; שופטים א, יח–יט; יהושע טו, מז; שופטים א, יח; מלכים א ה, ד; יהושע יג, ג; שמואל א ו, יז; ירמיהו כה, כ; ירמיהו מז, א; ירמיהו מז, ה; עמוס א, ו–ז; זכריה ט, ה; שופטים טז, א–ג; שופטים טז, כא","דרך ארץ פלשתים, נחל מצרים, פלשתים, מכתבי תענך, מכתבי אל עמארנה, רשימת הערים במסע תחותמס ה, כתובת שישק בכרנך ומצבת שישק במגידו, ממלכת דוד ושלמה",e0414_365_1610 — מבט אל עזה מהים,,,365,"שוחזר מעמ׳ 365–366 במדריך. הטקסט היה מודבק בטעות לסוף הערך עדלם (e0414). המיקום: תל אל חרובה, משוער, לאימות. את התמונה e0414_365_1610 יש להסיר מעדלם."
e0796,מקומות במקרא,עַכּוֹ,,32.9236,35.0947,"עיר בנחלת אשר במישור חוף הגליל. מערי החוף הראשיות בארץ ישראל מראשית האלף ה־2 לפסה״נ. נזכרת בשמה פעם אחת בלבד במקרא, בערי כנען ששבט אשר לא הוריש. נראה שבימי שלמה הייתה מעשרים הערים שניתנו לחירם ומאז אופיינה כעיר פיניקית. לכל אורך תקופת המקרא לא הייתה בה התיישבות ישראלית. משום כך היו שסברו שהשמות ”מְעָרָה״ בתיאור ’הארץ הנשארת׳ ו״עֻמָּה״ בתיאור נחלת אשר, אינם אלא שיבושים של השם ”עכֹּה״. בהיותה עיר נמל חשובה, נזכרה עכו רבות במקורות חוץ־מקראיים: בכתבי המארות מן התקופה הכנענית התיכונה, ברשימת כיבושי תחותמס ה־3, במכתבי אל־עמארנה (שבהם נזכרה עכו 13 פעמים) ובתעודות מימי סתי ה־1 ורעמסס ה־2. מקומה של העיר הקדומה זוהה בתל אל פוח׳אר, היום תל עכו, המכונה גם ׳גבעת נפוליאון׳, מזרחה לעיר המודרנית. מן החפירות בתל עולה שהעיר נושבה מן התקופה הכנענית הקדומה ועד התקופה ההלניסטית. אז נדד היישוב מערבה לקרבת הים ונקרא פתולמאיס. מן התקופה הכנענית נחשפו בתל מערכות ביצורים אדירות ובהן מצודה, שערים, חומות וסוללות עפר גדולות. לצד החקלאות פעלו במקום תעשיות של עיבוד מתכות והפקת ארגמן מחלזונות.","[שופטים א, לא] אָשֵׁר לֹא הוֹרִישׁ אֶת יֹשְׁבֵי עַכּוֹ","שופטים א, לא; יהושע יג, ד; יהושע יט, ל","מכתבי אל עמארנה, רשימת הערים במסע תחותמס ה, שטחי הכיבוש והארץ הנשארת",e0425_374_1646 — תל עכו,,,374,שוחזר מעמ׳ 374 במדריך. בחילוץ המקורי קיבל הטקסט את הכותרת עין רוגל (e0425) ונמחק. התמונה כבר קיימת באפליקציה ואינה מקושרת לשום ערך.
e0063,הצמחים במקרא,עֵץ,,,,"המילה ”עץ״ נזכרת 329 פעמים, ובספר דניאל נזכר ה״אילן״ 6 פעמים, והיא מציינת הן את האורגניזם הנטוע באדמה, הן את חומר הגלם המופק ממנו לאחר כריתתו. עוד נזכרים לרוב מעל שלושים מיני עצים. אזכוריו הרבים של העץ מלמדים על מקומו החשוב בטבע ובחייו של האדם במקרא.

לראשונה נזכרים העצים בסיפור הבריאה. דבר ה׳ לאדם מייעד את העצים למאכל האדם והחיות. בסיפור גן עדן תופסים העצים מקום מרכזי ביותר: ”וַיַּצְמַח ה׳ אֱלֹהִים מִן־הָאֲדָמָה כָּל־עֵץ נֶחְמָד לְמַרְאֶה וְטוֹב לְמַאֲכָל, וְעֵץ הַחַיִּים בְּתוֹךְ הַגָּן, וְעֵץ הַדַּעַת טוֹב וָרָע״. עצי הגן עומדים לרשות אדם וחווה למגוון שימושים: לאכילת פירות, לתפירת עלה תאנה לכיסוי ולמסתור בתוך עץ הגן. גן העדן מסמל תלות של האדם בעץ לבדו, והגירוש מגן עדן לאחר הפרת צו ה׳, משמעותו ביטול תלות זו ומעבר של האדם לתזונה מעשב השדה, תזונה המחייבת אותו להוציא לחם בזיעת אפיו.

בהקשרים שונים מבחין המקרא בין עצי מאכל לעצי סרק. עצי המאכל נועדו לקיום האדם, ועל כן התורה אוסרת לכרות אותם, אף לא במלחמה: ”לֹא־תַשְׁחִית אֶת־עֵצָהּ לִנְדֹּחַ עָלָיו גַּרְזֶן, כִּי מִמֶּנּוּ תֹּאכֵל וְאֹתוֹ לֹא תִכְרֹת, כִּי הָאָדָם עֵץ הַשָּׂדֶה״, אולם את עצי הסרק מותר לכרות ולהשתמש בהם. איסור נוסף הקשור לעץ פרי ולמעמדו המיוחד הוא איסור ערלה.

אחד מאפיוניה של ארץ ישראל הוא בעצי פרי הגדלים בה: ”וְגֶפֶן וּתְאֵנָה וְרִמּוֹן... זֵית שֶׁמֶן וּדְבָשׁ״. ברכת הארץ ניכרת בכך ש״עֵץ הַשָּׂדֶה יִתֵּן פִּרְיוֹ״, וקללתה בהפך הדבר. אולם מספר יהושע מתברר שהארץ הייתה מאופיינת ביערות עצי סרק שכיסו שטחים נרחבים בה. כדי לאפשר את ההתנחלות בשטחים הללו מציע יהושע לבני יוסף לכרות את היערות.

חרושת העץ שימשה לבניית בתים ולייצור כלים ורהיטים. מעץ הכינו עמודי תלייה. העץ שימש גם חומר בעירה. בכמה מקומות מתוארת במבט אירוני תעשיית פסלי עץ במסגרת הפולחן האלילי. עצי הסרק במקרא מהווים מקום קינון לעופות השמים ולמחייתם; הם נותנים צל ליושב תחתם; ומשמשים ציונים גיאוגרפיים.

המקרא מרבה להשתמש בעצים ובתכונותיהם כדימוי או כמשל. תנועת עצי היער ברוח משמשת דימוי לפחד, ובמקום אחר דווקא לשמחת הטבע. העץ הוא משל לאדם ולעם. עצי הפרי, בניגוד לעצי סרק, מסמלים בני אדם העוסקים בעשיית פירות המקיימים את העולם: ”וְהָיָה כְּעֵץ שָׁתוּל עַל־מַיִם... וְלֹא יָמִישׁ מֵעֲשׂוֹת פֶּרִי״. כך גם במשל יותם. אולם עצי סרק יכולים להיות גם דימוי חיובי.

ניגוד אחר אפשר למצוא במקרא בין העץ היבש לעץ הלח. העץ היבש והגדוע מסמל מוות וחורבן, ולעומתו העץ הלח והפורח הוא ”עֵץ־חַיִּים״, המסמל תקווה, המשכיות ואריכות ימים, אף יותר משנות חיי אדם: ”כִּי־כִימֵי הָעֵץ יְמֵי עַמִּי...״. איוב עומד נפעם מכוח ההתחדשות של העץ, בשונה מהאדם המזדקן וגווע: ”כִּי יֵשׁ לָעֵץ תִּקְוָה... אִם־יַזְקִין בָּאָרֶץ שָׁרְשׁוֹ, וּבֶעָפָר יָמוּת גִּזְעוֹ. מֵרֵיחַ מַיִם יַפְרִחַ וְעָשָׂה קָצִיר כְּמוֹ־נָטַע״. השתאות זו הביאה את עמי קדם לייחס לעץ תכונות של אל ולקדש פולחן תחת עצים, אולם יחזקאל מדגיש: ”כִּי אֲנִי ה׳... הוֹבַשְׁתִּי עֵץ לָח וְהִפְרַחְתִּי עֵץ יָבֵשׁ״.","[תהלים א, ג] וְהָיָה כְּעֵץ שָׁתוּל עַל פַּלְגֵי מָיִם אֲשֶׁר פִּרְיוֹ יִתֵּן בְּעִתּוֹ וְעָלֵהוּ לֹא יִבּוֹל וְכֹל אֲשֶׁר יַעֲשֶׂה יַצְלִיחַ","תהלים א, ג; דניאל ד, ז–כג; בראשית א, יב; בראשית א, כט; בראשית ב, ט; בראשית ג, ו–ח; בראשית ג, יז–יט; דברים כ, יט; ויקרא יט, כג–כה; דברים ח, ח; ויקרא כו, ד; יואל א, יב; ויקרא כו, כ; יואל ב, כב; יחזקאל לו, ל; יהושע יז, י–יח; שמואל ב ה, יא; ויקרא טו, יב; שמות כה, י; בראשית מ, יט; דברים כא, כב–כג; אסתר ה, יד; בראשית כב, ז; ויקרא א, ח; משלי כו, כ–כא; דברים ד, כח; ישעיהו מ, כ; ישעיהו מד, יג–טו; חבקוק ב, יח–כ; תהלים קד, טז–יז; יחזקאל יז, כג; דניאל ד, ט; בראשית יח, ד; בראשית יח, ח; יונה ד, ו; בראשית לה, ד; בראשית לה, ח; שמואל א יד, ב; ישעיהו ז, ב; תהלים צו, יב; ישעיהו נה, יב; ירמיהו יז, ה–ח; שופטים ט, ו–טו; מלכים ב יד, ט; שיר השירים ה, טו; יחזקאל כא, ג; איכה ד, ח; ישעיהו נו, ג; משלי ג, יח; משלי יא, ל; משלי טו, ד; ישעיהו סה, כב; איוב יד, ז–ט; ירמיהו ב, כז; דברים טז, כא; מלכים ב טז, ד; ישעיהו נז, ה; ירמיהו יז, ב; יחזקאל יז, כד","צפור, דרכי הארץ נופיה וחבליה, מזון כלכלה ותרבות, אחזת עולם",e0063_107_520 — עץ חרוב,,,107,"דורס את e0063, שנשא עד כה את הכותרת השגויה ”ענף עץ עבת״ עם טקסט חלקי של הערך עץ. ענף עץ עבת הוא חלק מהערך הדס (e0037) ואינו ערך נפרד. הפניות לחטיבת הארץ במקרא: שדרת ההר המרכזי, ארץ לחם וכרמים, מצוות הארץ."
e0797,ארצות ועמים במקרא,אֲרַם נַהֲרַיִם,,,,"”אֲרַם נַהֲרַיִם״ נזכרת במקרא חמש פעמים. מן הסיומת –יִם התפרש המונח כ״ארץ שני נהרות״, והתרגום היווני תרגם ”מסופוטמיה״, וכך היה מקובל כי ביטוי זה מכוון לעמק הפרת והחידקל. אולם היום מקובל כי הסיומת –יִם אינה בהכרח זוגית, וכי ארם נהריים הוא ”נהרינה״, שמו של אזור מעלה הפרת והחבור, באזור העיר חרן.",,"בראשית כד, י; דברים כג, ה; שופטים ג, ח; תהלים ס, ב; דברי הימים א יט, ו","ארם, חרן, פדן ארם, חבור",,,,461,שוחזר מעמ׳ 461–462. בחילוץ המקורי נבלע כסעיף בסוף הערך ארם (e0522); יש להסיר משם את כותרת המשנה ”ארם נהרים״ ואת שתי הפסקאות שאחריה.
e0516,ארצות ועמים במקרא,לוח העמים,,,,"תרשים יוחסין של העמים על פי בראשית י–יא ודברי הימים א א, ושל משפחת תרח ואברהם: לוט, נחור, ישמעאל, בני קטורה, עשו ויעקב.",,"בראשית י; בראשית יא; דברי הימים א א; בראשית יא, כו–לב; בראשית יט, לו–לח; בראשית כב, כ–כד; בראשית כה, יב–יח; בראשית לו",מפת ארצות המקרא,"e0516_450_2000 — לוח העמים: בני שם ויפת
e0516_451_2001 — לוח העמים: בני חם
e0516_452_2002 — לוח העמים: בני ישמעאל, קטורה ועשו
e0516_453_2003 — לוח העמים: משפחת תרח ובני יעקב",,,450,"ערך תמונות בלבד, כמו מפת ארצות המקרא (e0515). ארבע התמונות נוספו לאפליקציה (assets/content/media)."
